0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/img/portfolio/cake.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/img/portfolio/game.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/img/portfolio/circus.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/img/portfolio/submarine.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/img/portfolio/safe.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/resources/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/resources/webfonts/fa-brands-400.woff HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/resources/webfonts/fa-solid-900.woff HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/resources/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /team4_jeju/resources/webfonts/fa-brands-400.ttf HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:16:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/main.jsp HTTP/1.1" 200 26113
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/img/avataaars.svg HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/resources/style/bootstrap-4.3.1.css HTTP/1.1" 200 192352
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/resources/js/jquery-3.4.1.js HTTP/1.1" 200 280364
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/resources/style/jeju_gyubeom.css HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/img/portfolio/cabin.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/resources/style/fontawesome-all.css HTTP/1.1" 200 70060
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/resources/style/encore_main_gyubeom.css HTTP/1.1" 200 220289
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/img/portfolio/cake.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/img/portfolio/game.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/img/portfolio/circus.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/img/portfolio/submarine.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:45 +0900] "GET /team4_jeju/img/portfolio/safe.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/img/portfolio/cabin.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/img/portfolio/cake.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/img/portfolio/circus.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/img/portfolio/safe.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/img/portfolio/game.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/img/portfolio/submarine.png HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/resources/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [13/Jul/2019:14:18:46 +0900] "GET /team4_jeju/resources/webfonts/fa-solid-900.woff HTTP/1.1" 404 1086
